# processors	time
# 2^30
	1			385654
	2			371926
	4			127315
	8			58199
	16			29141
	32			15803
	64			11714
	128			9661
	256			10349
	512			20197


# 2^25
	1			10371
	2			9233
	4			3373
	8			1848
	16			1241
	32			770
	64			603
	128			699
	256			1960
	512			9145
