# processors	time
# 2^15
	1			8104
	2			5323
	4			2281
	8			-189
	16			-3387
	32			-648.4
	64			-6933
	128			130618
	256			1550583
	512			2363850


# 2^20
	1			296750
	2			234878
	4			96075
	8			60872
	16			45793
	32			55484
	64			34974
	128			97259
	256			1516445
	512			-120840.2


# 2^25
	1			10424878
	2			9191417
	4			3113109
	8			1508394
	16			892290
	32			523036
	64			470106
	128			947343
	256			4332155
	512			-2637537
