# processors	time
# 2^30
	1			1
	2			1,040902312
	4			3,07361564
	8			6,580545977
	16			13,118971823
	32			23,679748151
	64			32,957035903
	128			40,330765226
	256			37,29440647
	512			19,835987506
	1024		7,503089349


# 2^25
	1			1
	2			1,120069167
	4			3,08360607
	8			6,114454277
	16			9,722326454
	32			11,99537037
	64			16,68921095
	128			14,062415197
	256			5,783482143
	512			1,199953688
	1024		0,23938652
