# processors	time
# 2^30
	1			64,5438423
	2			33,5919174
	4			49,5957408
	8			53,0917152
	16			52,921803
	32			47,7619353
	64			33,2370895
	128			20,3367387
	256			9,4028293
	512			2,5005681
	1024		0,4729279


# 2^25
	1			62,9390197
	2			35,2480276
	4			48,5197858
	8			48,1047198
	16			38,244606
	32			23,5930266
	64			16,4125403
	128			6,9146455
	256			1,4219012
	512			0,1475076
	1024		0,0147136
