# processors	time
# 2^30
	1			387377
	2			372155
	4			126033
	8			58867
	16			29528
	32			16359
	64			11754
	128			9605
	256			10387
	512			19529
	1024		51629


# 2^25
	1			10364
	2			9253
	4			3361
	8			1695
	16			1066
	32			864
	64			621
	128			737
	256			1792
	512			8637
	1024		43294
